state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
California,Alameda County,06001,03/23/2020,4.248,6.57,moderate
California,Monterey County,06053,03/23/2020,3.225,11.18,high
California,Santa Clara County,06085,03/23/2020,11.464,10.70,high
California,Siskiyou County,06093,03/23/2020,suppressed,,low
California,Solano County,06095,03/23/2020,suppressed,4.78,low
California,Fresno County,06019,03/23/2020,suppressed,3.42,low
California,Lake County,06033,03/23/2020,0.000,0.00,low
California,Mendocino County,06045,03/23/2020,suppressed,2.60,low
California,San Bernardino County,06071,03/23/2020,0.734,5.42,moderate
California,Tuolumne County,06109,03/23/2020,0.000,1.41,low
California,Plumas County,06063,03/23/2020,0.000,,low
California,Shasta County,06089,03/23/2020,suppressed,3.80,low
California,Sutter County,06101,03/23/2020,0.000,0.00,low
California,Tehama County,06103,03/23/2020,0.000,0.00,low
California,Contra Costa County,06013,03/23/2020,4.768,5.94,moderate
California,Madera County,06039,03/23/2020,suppressed,5.88,moderate
California,Orange County,06059,03/23/2020,3.810,11.86,high
California,Sacramento County,06067,03/23/2020,3.415,5.50,moderate
California,Sonoma County,06097,03/23/2020,3.034,6.60,moderate
California,Colusa County,06011,03/23/2020,0.000,,low
California,Glenn County,06021,03/23/2020,0.000,,low
California,Kings County,06031,03/23/2020,0.000,0.00,low
California,Mariposa County,06043,03/23/2020,0.000,,low
California,Placer County,06061,03/23/2020,3.013,8.95,substantial
California,San Diego County,06073,03/23/2020,4.823,10.57,high
California,San Joaquin County,06077,03/23/2020,3.674,9.49,substantial
California,San Luis Obispo County,06079,03/23/2020,7.771,16.22,high
California,San Mateo County,06081,03/23/2020,6.001,10.84,high
California,Stanislaus County,06099,03/23/2020,suppressed,1.53,low
California,Ventura County,06111,03/23/2020,2.719,5.24,moderate
California,Shasta County,06089,03/28/2020,suppressed,2.44,low
California,Butte County,06007,03/28/2020,suppressed,4.35,low
California,Calaveras County,06009,03/28/2020,0.000,,low
California,Contra Costa County,06013,03/28/2020,10.836,5.95,moderate
California,Del Norte County,06015,03/28/2020,0.000,,low
California,Lassen County,06035,03/28/2020,0.000,,low
California,Merced County,06047,03/28/2020,suppressed,4.68,low
California,Trinity County,06105,03/28/2020,0.000,,low
California,Alpine County,06003,03/28/2020,0.000,,low
California,Lake County,06033,03/28/2020,0.000,0.00,low
California,Los Angeles County,06037,03/28/2020,17.910,14.94,high
California,Orange County,06059,03/28/2020,8.124,11.52,high
California,San Bernardino County,06071,03/28/2020,6.835,8.70,substantial
California,San Luis Obispo County,06079,03/28/2020,13.776,9.00,substantial
California,San Mateo County,06081,03/28/2020,20.350,13.06,high
California,Sonoma County,06097,03/28/2020,4.046,5.05,moderate
California,Yolo County,06113,03/28/2020,suppressed,5.58,moderate
California,Humboldt County,06023,03/28/2020,12.541,5.21,moderate
California,San Diego County,06073,03/28/2020,11.982,11.93,high
California,San Francisco County,06075,03/28/2020,25.750,27.08,high
California,Ventura County,06111,03/28/2020,8.274,8.97,substantial
California,Amador County,06005,03/28/2020,0.000,,low
California,El Dorado County,06017,03/28/2020,suppressed,2.03,low
California,Inyo County,06027,03/28/2020,0.000,,low
California,Mono County,06051,03/28/2020,76.156,,substantial
California,Napa County,06055,03/28/2020,suppressed,6.15,moderate
California,Riverside County,06065,03/28/2020,9.067,8.55,substantial
California,San Joaquin County,06077,03/28/2020,7.872,9.44,substantial
California,Tuolumne County,06109,03/28/2020,0.000,0.00,low
California,Madera County,06039,03/28/2020,suppressed,10.61,high
California,Monterey County,06053,03/28/2020,6.451,9.38,substantial
California,San Benito County,06069,03/28/2020,suppressed,11.32,high
California,Solano County,06095,03/28/2020,4.021,2.49,low
California,Stanislaus County,06099,03/28/2020,2.179,4.47,low
California,Alameda County,06001,03/28/2020,8.676,6.76,moderate
California,Colusa County,06011,03/28/2020,suppressed,,low
California,Glenn County,06021,03/28/2020,suppressed,,low
California,Kings County,06031,03/28/2020,suppressed,1.76,low
California,Mendocino County,06045,03/28/2020,suppressed,2.38,low
California,Sacramento County,06067,03/28/2020,9.729,7.71,moderate
California,Santa Clara County,06085,03/28/2020,16.703,12.46,high
California,Santa Cruz County,06087,03/28/2020,5.856,5.56,moderate
California,Yuba County,06115,03/28/2020,suppressed,1.28,low
California,Fresno County,06019,03/28/2020,2.402,4.96,low
California,Kern County,06029,03/28/2020,4.110,4.36,low
California,Marin County,06041,03/28/2020,11.591,10.02,high
California,Modoc County,06049,03/28/2020,0.000,,low
California,Placer County,06061,03/28/2020,6.025,5.98,moderate
California,Plumas County,06063,03/28/2020,0.000,,low
California,Sierra County,06091,03/28/2020,0.000,,low
California,Sutter County,06101,03/28/2020,suppressed,7.45,moderate
California,Tehama County,06103,03/28/2020,0.000,0.00,low
California,Tulare County,06107,03/28/2020,4.076,7.44,moderate
California,Imperial County,06025,03/28/2020,suppressed,25.00,high
California,Mariposa County,06043,03/28/2020,0.000,,low
California,Nevada County,06057,03/28/2020,11.027,1.37,moderate
California,Santa Barbara County,06083,03/28/2020,9.854,11.70,high
California,Siskiyou County,06093,03/28/2020,suppressed,,low
California,Calaveras County,06009,04/12/2020,suppressed,,low
California,Fresno County,06019,04/12/2020,10.009,14.21,high
California,Inyo County,06027,04/12/2020,suppressed,,moderate
California,Kern County,06029,04/12/2020,22.328,12.53,high
California,Mendocino County,06045,04/12/2020,0.000,0.00,low
California,Sonoma County,06097,04/12/2020,8.699,4.29,low
California,Colusa County,06011,04/12/2020,suppressed,,low
California,Contra Costa County,06013,04/12/2020,14.564,7.64,moderate
California,Marin County,06041,04/12/2020,10.045,3.98,moderate
California,Mono County,06051,04/12/2020,suppressed,,moderate
California,Monterey County,06053,04/12/2020,4.147,7.26,moderate
California,Placer County,06061,04/12/2020,6.527,2.97,low
California,Plumas County,06063,04/12/2020,suppressed,,low
California,Sutter County,06101,04/12/2020,suppressed,1.89,low
California,Tuolumne County,06109,04/12/2020,0.000,0.00,low
California,Del Norte County,06015,04/12/2020,suppressed,,low
California,Humboldt County,06023,04/12/2020,suppressed,0.31,low
California,Kings County,06031,04/12/2020,suppressed,2.88,low
California,Modoc County,06049,04/12/2020,0.000,,low
California,San Benito County,06069,04/12/2020,17.514,3.61,moderate
California,San Francisco County,06075,04/12/2020,36.640,15.23,high
California,San Joaquin County,06077,04/12/2020,9.578,10.69,high
California,San Mateo County,06081,04/12/2020,18.524,8.60,substantial
California,Santa Barbara County,06083,04/12/2020,20.381,12.49,high
California,Santa Clara County,06085,04/12/2020,20.593,10.25,high
California,Santa Cruz County,06087,04/12/2020,8.418,3.49,low
California,Sierra County,06091,04/12/2020,0.000,,low
California,Solano County,06095,04/12/2020,13.180,6.97,moderate
California,Imperial County,06025,04/12/2020,19.866,16.92,high
California,Mariposa County,06043,04/12/2020,0.000,,low
California,Napa County,06055,04/12/2020,10.164,6.74,moderate
California,San Bernardino County,06071,04/12/2020,20.779,13.21,high
California,Alameda County,06001,04/12/2020,16.933,8.44,substantial
California,Merced County,06047,04/12/2020,17.286,9.03,substantial
California,Orange County,06059,04/12/2020,15.430,12.01,high
California,San Luis Obispo County,06079,04/12/2020,6.358,3.79,low
California,Amador County,06005,04/12/2020,suppressed,,moderate
California,Riverside County,06065,04/12/2020,24.610,11.29,high
California,Shasta County,06089,04/12/2020,7.219,2.37,low
California,Siskiyou County,06093,04/12/2020,suppressed,,low
California,Yuba County,06115,04/12/2020,suppressed,0.80,low
California,Glenn County,06021,04/12/2020,suppressed,,low
California,Lake County,06033,04/12/2020,suppressed,5.19,moderate
California,Stanislaus County,06099,04/12/2020,12.349,8.62,substantial
California,Trinity County,06105,04/12/2020,0.000,,low
California,Tulare County,06107,04/12/2020,19.091,20.76,high
California,Ventura County,06111,04/12/2020,13.002,9.55,substantial
California,Alpine County,06003,04/12/2020,0.000,,low
California,Butte County,06007,04/12/2020,suppressed,2.53,low
California,El Dorado County,06017,04/12/2020,5.186,2.31,low
California,Madera County,06039,04/12/2020,suppressed,3.76,low
California,Nevada County,06057,04/12/2020,suppressed,3.76,low
California,San Diego County,06073,04/12/2020,16.535,10.56,high
California,Yolo County,06113,04/12/2020,12.245,12.50,high
California,Lassen County,06035,04/12/2020,0.000,,low
California,Los Angeles County,06037,04/12/2020,35.352,13.07,high
California,Sacramento County,06067,04/12/2020,18.814,8.85,substantial
California,Tehama County,06103,04/12/2020,0.000,0.00,low
California,El Dorado County,06017,04/16/2020,suppressed,1.70,low
California,Inyo County,06027,04/16/2020,suppressed,,low
California,Modoc County,06049,04/16/2020,0.000,,low
California,Orange County,06059,04/16/2020,10.864,10.90,high
California,Tulare County,06107,04/16/2020,30.888,19.68,high
California,Alpine County,06003,04/16/2020,0.000,,low
California,Fresno County,06019,04/16/2020,11.510,14.57,high
California,Los Angeles County,06037,04/16/2020,29.017,13.82,high
California,Nevada County,06057,04/16/2020,13.032,1.71,moderate
California,Sutter County,06101,04/16/2020,suppressed,1.49,low
California,Tuolumne County,06109,04/16/2020,suppressed,0.00,low
California,Ventura County,06111,04/16/2020,12.057,10.05,high
California,Humboldt County,06023,04/16/2020,8.115,0.81,low
California,Merced County,06047,04/16/2020,14.045,8.23,substantial
California,Monterey County,06053,04/16/2020,8.755,9.74,substantial
California,San Bernardino County,06071,04/16/2020,19.632,13.17,high
California,Solano County,06095,04/16/2020,9.382,8.31,substantial
California,Sonoma County,06097,04/16/2020,6.676,4.85,low
California,Calaveras County,06009,04/16/2020,suppressed,,low
California,Contra Costa County,06013,04/16/2020,14.217,7.28,moderate
California,Glenn County,06021,04/16/2020,suppressed,,low
California,Kern County,06029,04/16/2020,33.659,12.38,high
California,Lake County,06033,04/16/2020,suppressed,4.76,low
California,Lassen County,06035,04/16/2020,0.000,,low
California,Napa County,06055,04/16/2020,9.438,7.39,moderate
California,Yuba County,06115,04/16/2020,suppressed,0.00,low
California,Sacramento County,06067,04/16/2020,17.654,6.39,moderate
California,Santa Cruz County,06087,04/16/2020,8.418,3.72,low
California,Del Norte County,06015,04/16/2020,0.000,,low
California,Mariposa County,06043,04/16/2020,0.000,,low
California,Riverside County,06065,04/16/2020,30.358,11.92,high
California,San Luis Obispo County,06079,04/16/2020,8.477,3.43,low
California,Santa Barbara County,06083,04/16/2020,21.725,11.30,high
California,Santa Clara County,06085,04/16/2020,22.564,10.27,high
California,Shasta County,06089,04/16/2020,suppressed,1.60,low
California,Siskiyou County,06093,04/16/2020,suppressed,,low
California,Yolo County,06113,04/16/2020,16.780,14.18,high
California,Alameda County,06001,04/16/2020,19.206,8.86,substantial
California,Amador County,06005,04/16/2020,suppressed,,moderate
California,Butte County,06007,04/16/2020,suppressed,2.14,low
California,Mendocino County,06045,04/16/2020,0.000,0.00,low
California,Mono County,06051,04/16/2020,suppressed,,moderate
California,San Joaquin County,06077,04/16/2020,15.483,11.02,high
California,Sierra County,06091,04/16/2020,0.000,,low
California,Tehama County,06103,04/16/2020,0.000,0.00,low
California,Trinity County,06105,04/16/2020,0.000,,low
California,Colusa County,06011,04/16/2020,0.000,,low
California,Imperial County,06025,04/16/2020,30.903,20.95,high
